측정일시,측정소명,이산화질소농도(ppm),오존농도(ppm),이산화탄소농도(ppm),아황산가스(ppm),미세먼지(㎍/㎥),초미세먼지(㎍/㎥)
20130101,강남구,0.05,0.007,0.5,0.006,38,
20130101,강남대로,0.058,0.005,0.7,0.007,52,
20130101,강동구,0.033,0.007,0.6,0.005,33,
20130101,강변북로,0.047,0.008,0.6,0.005,40,
20130101,강북구,0.038,0.011,0.5,0.005,27,
20130101,강서구,0.048,0.009,0.5,0.007,36,
20130101,공항대로,0.037,0.009,0.7,0.006,42,
20130101,관악구,0.041,0.011,0.7,0.007,36,
20130101,광진구,0.036,0.012,0.7,0.004,35,
20130101,구로구,0.041,0.008,0.7,0.006,39,
20130101,금천구,0.04,0.012,0.8,0.008,43,
20130101,노원구,0.046,0.011,0.6,0.007,36,
20130101,도봉구,0.042,0.012,0.7,0.008,31,
20130101,도산대로,0.053,0.006,0.8,0.005,44,23
20130101,동대문구,0.034,0.01,0.9,0.004,35,
20130101,동작구,0.04,0.008,0.8,0.008,47,
20130101,동작대로,0.051,0.006,0.7,0.006,51,
20130101,마포구,0.043,0.01,0.7,0.006,40,
20130101,서대문구,0.035,0.014,0.5,0.005,36,
20130101,서초구,0.043,0.012,0.6,0.006,38,
20130101,성동구,0.035,0.007,0.7,0.002,35,
20130101,성북구,0.044,0.01,0.8,0.005,32,
20130101,송파구,0.041,0.01,0.6,0.005,30,
20130101,신촌로,0.053,0.006,0.8,0.005,52,
20130101,양천구,0.041,0.009,0.6,0.007,35,
20130101,영등포구,0.031,0.009,0.8,0.007,39,
20130101,영등포로,0.054,0.004,0.9,0.006,44,
20130101,용산구,0.048,0.008,1,0.005,33,
20130101,은평구,0.034,0.014,0.6,0.006,36,
20130101,정릉로,0.044,0.011,0.6,0.006,47,
20130101,종로,0.055,0.007,0.5,0.005,49,
20130101,종로구,0.037,0.01,0.4,0.005,38,21
20130101,중구,0.041,0.009,0.9,0.006,33,
20130101,중랑구,0.039,0.01,0.8,0.008,36,
20130101,천호대로,0.052,0.006,0.6,0.006,43,
20130101,청계천로,0.048,0.008,0.5,0.005,33,
20130101,한강대로,0.051,0.002,0.8,0.005,43,
20130101,홍릉로,0.05,0.006,0.3,0.004,49,
20130101,홍지문,0.044,0.008,0.4,0.005,30,
20130101,화랑로,0.046,0.007,0.7,0.006,39,
20130102,강남구,0.021,0.025,0.2,0.006,20,
20130102,강남대로,0.043,0.012,0.5,0.006,22,
20130102,강동구,0.014,0.025,0.3,0.004,15,
20130102,강변북로,0.028,0.02,0.4,0.005,20,
20130102,강북구,0.016,0.028,0.2,0.003,14,
20130102,강서구,0.02,0.026,0.2,0.006,18,
20130102,공항대로,0.012,0.028,0.4,0.004,20,
20130102,관악구,0.021,0.025,0.4,0.006,19,
20130102,광진구,0.016,0.028,0.4,0.004,21,
20130102,구로구,0.019,0.02,0.4,0.005,19,
20130102,금천구,0.021,0.029,0.6,0.007,21,
20130102,노원구,0.013,0.03,0.3,0.005,19,
20130102,도봉구,0.01,0.032,0.4,0.002,14,
20130102,도산대로,0.028,0.019,0.7,0.005,17,10
20130102,동대문구,0.012,0.03,0.8,0.004,16,
20130102,동작구,0.019,0.02,0.4,0.007,22,
20130102,동작대로,0.039,0.015,0.4,0.005,20,
20130102,마포구,0.022,0.024,0.4,0.006,19,
20130102,서대문구,0.012,0.033,0.4,0.005,18,
20130102,서초구,0.022,0.029,0.3,0.005,19,
20130102,성동구,0.011,0.027,0.4,0.001,17,
20130102,성북구,0.013,0.032,0.4,0.005,15,
20130102,송파구,0.014,0.032,0.3,0.005,16,
20130102,신촌로,0.038,0.016,0.6,0.005,26,
20130102,양천구,0.021,0.024,0.4,0.005,24,
20130102,영등포구,0.024,0.023,0.6,0.007,22,
20130102,영등포로,0.034,0.016,0.5,0.006,22,
20130102,용산구,0.021,0.026,0.7,0.005,17,
20130102,은평구,0.018,0.026,0.4,0.006,21,
20130102,정릉로,0.023,0.028,0.4,0.006,21,
20130102,종로,0.018,0.029,0.3,0.004,19,
20130102,종로구,0.015,0.028,0.3,0.005,19,9
20130102,중구,0.013,0.028,0.6,0.006,18,
20130102,중랑구,0.017,0.025,0.4,0.005,16,
20130102,천호대로,0.037,0.022,0.3,0.006,23,
20130102,청계천로,0.022,0.028,0.3,0.005,20,
20130102,한강대로,0.031,0.016,0.5,0.004,18,
20130102,홍릉로,0.032,0.018,0.2,0.006,32,
20130102,홍지문,0.021,0.025,0.3,0.005,18,
20130102,화랑로,0.033,0.019,0.5,0.005,19,
20130103,강남구,0.032,0.018,0.4,0.008,31,
20130103,강남대로,0.051,0.009,0.7,0.007,35,
20130103,강동구,0.022,0.016,0.4,0.006,29,
20130103,강변북로,0.038,0.014,0.5,0.007,31,
20130103,강북구,0.024,0.02,0.4,0.005,21,
20130103,강서구,0.026,0.021,0.3,0.006,30,
20130103,공항대로,0.02,0.021,0.5,0.006,37,
20130103,관악구,0.027,0.02,0.5,0.007,27,
20130103,광진구,0.027,0.019,0.6,0.006,30,
20130103,구로구,0.023,0.017,0.5,0.007,31,
20130103,금천구,0.024,0.024,0.7,0.007,35,
20130103,노원구,0.023,0.023,0.4,0.007,30,
20130103,도봉구,0.02,0.021,0.4,0.006,29,
20130103,도산대로,0.036,0.013,0.6,0.006,33,17
20130103,동대문구,0.019,0.022,0.9,0.005,30,
20130103,동작구,0.025,0.016,0.4,0.008,31,
20130103,동작대로,0.047,0.01,0.6,0.006,36,
20130103,마포구,0.027,0.018,0.5,0.007,31,
20130103,서대문구,0.018,0.027,0.5,0.007,29,
20130103,서초구,0.027,0.023,0.4,0.007,30,
20130103,성동구,0.02,0.019,0.5,0.002,29,
20130103,성북구,0.026,0.022,0.5,0.006,27,
20130103,송파구,0.027,0.02,0.5,0.007,27,
20130103,신촌로,0.044,0.011,0.8,0.006,44,
20130103,양천구,0.025,0.021,0.4,0.006,30,
20130103,영등포구,0.023,0.017,0.7,0.01,32,
20130103,영등포로,0.039,0.013,0.6,0.006,31,
20130103,용산구,0.029,0.02,0.9,0.006,27,
20130103,은평구,0.022,0.022,0.5,0.007,31,
20130103,정릉로,0.031,0.02,0.5,0.007,35,
20130103,종로,0.025,0.023,0.4,0.005,26,
20130103,종로구,0.022,0.022,0.3,0.006,30,14
20130103,중구,0.017,0.023,0.7,0.007,26,
20130103,중랑구,0.026,0.018,0.5,0.006,31,
20130103,천호대로,0.043,0.015,0.5,0.007,30,
20130103,청계천로,0.032,0.021,0.4,0.006,29,
20130103,한강대로,0.034,0.012,0.6,0.005,34,
20130103,홍릉로,0.038,0.012,0.2,0.008,38,
20130103,홍지문,0.027,0.018,0.4,0.006,19,
20130103,화랑로,0.044,0.012,0.7,0.007,37,
20130104,강남구,0.06,0.007,0.6,0.008,48,
20130104,강남대로,0.069,0.003,1.3,0.009,55,
20130104,강동구,0.038,0.007,0.7,0.006,51,
20130104,강변북로,0.057,0.007,0.9,0.007,47,
20130104,강북구,0.044,0.009,0.6,0.006,31,
20130104,강서구,0.045,0.013,0.5,0.007,43,
20130104,공항대로,0.038,0.01,0.8,0.006,54,
20130104,관악구,0.043,0.012,0.7,0.007,36,
20130104,광진구,0.045,0.01,0.8,0.007,50,
20130104,구로구,0.041,0.01,0.6,0.007,40,
20130104,금천구,0.047,0.011,1,0.008,42,
20130104,노원구,0.048,0.011,0.7,0.009,48,
20130104,도봉구,0.045,0.01,0.8,0.012,47,
20130104,도산대로,0.059,0.006,0.4,0.006,49,28
20130104,동대문구,0.04,0.009,0.8,0.006,48,
20130104,동작구,0.049,0.006,0.6,0.009,45,
20130104,동작대로,0.065,0.005,0.8,0.006,50,
20130104,마포구,0.046,0.011,0.7,0.007,42,
20130104,서대문구,0.039,0.013,0.6,0.006,37,
20130104,서초구,0.047,0.011,0.6,0.007,43,
20130104,성동구,0.041,0.006,0.9,0.003,46,
20130104,성북구,0.051,0.009,0.9,0.008,44,
20130104,송파구,0.046,0.01,0.7,0.008,43,
20130104,신촌로,0.059,0.007,1,0.007,58,
20130104,양천구,0.041,0.012,0.6,0.007,40,
20130104,영등포구,0.031,0.01,0.8,0.01,41,
20130104,영등포로,0.054,0.008,0.9,0.007,43,
20130104,용산구,0.052,0.008,1.1,0.006,38,
20130104,은평구,0.038,0.013,0.7,0.007,37,
20130104,정릉로,0.049,0.01,0.7,0.008,52,
20130104,종로,0.053,0.008,0.7,0.005,41,
20130104,종로구,0.047,0.01,0.6,0.007,44,26
20130104,중구,0.045,0.009,1,0.008,38,
20130104,중랑구,0.042,0.011,0.7,0.006,52,
20130104,천호대로,0.056,0.008,0.7,0.007,48,
20130104,청계천로,0.062,0.006,0.8,0.007,42,
20130104,한강대로,0.055,0.003,0.9,0.005,48,
20130104,홍릉로,0.056,0.005,0.3,0.009,57,
20130104,홍지문,0.053,0.005,0.6,0.006,47,
20130104,화랑로,0.056,0.006,0.9,0.007,67,
20130105,강남구,0.078,0.003,0.8,0.008,64,
20130105,강남대로,0.089,0.003,1.4,0.01,77,
20130105,강동구,0.051,0.002,0.9,0.005,59,
20130105,강변북로,0.068,0.004,1,0.007,63,
20130105,강북구,0.054,0.006,0.8,0.007,44,
20130105,강서구,0.077,0.004,0.9,0.009,59,
20130105,공항대로,0.06,0.002,1.2,0.008,75,
20130105,관악구,0.062,0.007,1.1,0.008,56,
20130105,광진구,0.058,0.005,1,0.006,59,
20130105,구로구,0.061,0.004,1,0.008,56,
20130105,금천구,0.062,0.005,1.3,0.01,58,
20130105,노원구,0.066,0.005,0.9,0.009,64,
20130105,도봉구,0.057,0.007,1,0.012,60,
20130105,도산대로,0.079,0.003,0.6,0.006,69,47
20130105,동대문구,0.052,0.005,0.9,0.007,64,
20130105,동작구,0.066,0.002,0.8,0.01,66,
20130105,동작대로,0.078,0.004,1.2,0.007,72,
20130105,마포구,0.062,0.005,1.1,0.008,62,
20130105,서대문구,0.06,0.006,0.7,0.007,53,
20130105,서초구,0.065,0.006,1,0.007,63,
20130105,성동구,0.052,0.002,1,0.002,62,
20130105,성북구,0.062,0.006,1.2,0.009,55,
20130105,송파구,0.067,0.004,1.2,0.009,56,
20130105,신촌로,0.074,0.003,1.3,0.007,85,
20130105,양천구,0.064,0.004,1,0.008,61,
20130105,영등포구,0.05,0.003,1.1,0.009,64,
20130105,영등포로,0.074,0.003,1.4,0.007,71,
20130105,용산구,0.067,0.004,1.4,0.007,55,
20130105,은평구,0.057,0.006,1,0.007,49,
20130105,정릉로,0.063,0.005,0.9,0.008,65,
20130105,종로,0.07,0.003,1,0.007,64,
20130105,종로구,0.061,0.004,0.8,0.008,55,40
20130105,중구,0.059,0.006,1.3,0.008,52,
20130105,중랑구,0.057,0.005,0.9,0.007,64,
20130105,천호대로,0.076,0.003,1.2,0.007,68,
20130105,청계천로,0.079,0.002,0.8,0.009,59,
20130105,한강대로,0.068,0.001,1.2,0.007,65,
20130105,홍릉로,0.066,0.002,0.4,0.009,79,
20130105,홍지문,0.067,0.002,0.8,0.007,77,
20130105,화랑로,0.067,0.004,1.2,0.007,87,
20130106,강남구,0.065,0.008,0.9,0.011,85,
20130106,강남대로,0.076,0.004,1.8,0.012,103,
20130106,강동구,0.043,0.006,1,0.007,72,
20130106,강변북로,0.064,0.005,1.2,0.008,83,
20130106,강북구,0.05,0.01,1,0.009,63,
20130106,강서구,0.059,0.01,0.9,0.011,91,
20130106,공항대로,0.046,0.008,1.3,0.008,104,
20130106,관악구,0.051,0.012,1.1,0.013,82,
20130106,광진구,0.05,0.01,1.2,0.008,83,
20130106,구로구,0.049,0.008,1.1,0.012,86,
20130106,금천구,0.051,0.01,1.4,0.013,88,
20130106,노원구,0.061,0.009,1,0.011,88,
20130106,도봉구,0.05,0.014,1.2,0.008,87,
20130106,도산대로,0.067,0.006,0.6,0.01,93,60
20130106,동대문구,0.045,0.01,1.2,0.009,91,
20130106,동작구,0.055,0.006,1,0.013,95,
20130106,동작대로,0.066,0.005,1.2,0.009,102,
20130106,마포구,0.055,0.011,1.2,0.011,96,
20130106,서대문구,0.047,0.013,0.8,0.011,88,
20130106,서초구,0.054,0.011,1.1,0.011,94,
20130106,성동구,0.047,0.004,1.6,0.003,85,
20130106,성북구,0.059,0.009,1.4,0.011,80,
20130106,송파구,0.051,0.011,1.2,0.008,67,
20130106,신촌로,0.067,0.006,1.5,0.009,122,
20130106,양천구,0.051,0.01,1,0.011,82,
20130106,영등포구,0.047,0.008,1.2,0.014,96,
20130106,영등포로,0.061,0.005,1.4,0.007,101,
20130106,용산구,0.055,0.01,1.5,0.009,81,
20130106,은평구,0.046,0.01,1.3,0.01,85,
20130106,정릉로,0.051,0.012,1.1,0.01,89,
20130106,종로,0.053,0.01,1,0.009,84,
20130106,종로구,0.047,0.012,0.8,0.011,,55
20130106,중구,0.048,0.011,1.4,0.012,79,
20130106,중랑구,0.051,0.009,1,0.009,88,
20130106,천호대로,0.065,0.007,1.1,0.009,71,
20130106,청계천로,0.064,0.008,0.8,0.012,84,
20130106,한강대로,0.058,0.003,1.3,0.01,98,
20130106,홍릉로,0.063,0.005,0.4,0.011,106,
20130106,홍지문,0.054,0.008,0.9,0.011,108,
20130106,화랑로,0.06,0.006,1.3,0.008,100,
20130107,강남구,0.075,0.005,0.9,0.008,76,
20130107,강남대로,0.09,0.003,1.8,0.011,87,
20130107,강동구,0.047,0.005,1.1,0.006,69,
20130107,강변북로,0.071,0.004,1.2,0.007,74,
20130107,강북구,0.052,0.009,0.8,0.008,51,
20130107,강서구,0.068,0.007,0.9,0.009,83,
20130107,공항대로,0.051,0.007,1.3,0.009,98,
20130107,관악구,0.061,0.008,1.1,0.009,71,
20130107,광진구,0.056,0.008,1.1,0.008,75,
20130107,구로구,0.06,0.005,1.1,0.008,79,
20130107,금천구,0.062,0.008,1.4,0.011,77,
20130107,노원구,0.059,0.01,0.9,0.01,76,
20130107,도봉구,0.054,0.011,1.1,0.01,73,
20130107,도산대로,0.078,0.004,0.7,0.008,78,52
20130107,동대문구,0.051,0.008,1.1,0.007,76,
20130107,동작구,0.063,0.004,0.9,0.01,77,
20130107,동작대로,0.076,0.004,1.2,0.008,84,
20130107,마포구,0.065,0.006,1.2,0.009,80,
20130107,서대문구,0.058,0.011,0.7,0.008,69,
20130107,서초구,0.063,0.009,1,0.008,77,
20130107,성동구,0.052,0.004,1.4,0.002,76,
20130107,성북구,0.06,0.009,1.3,0.009,66,
20130107,송파구,0.058,0.008,1.1,0.008,62,
20130107,신촌로,0.08,0.004,1.5,0.009,107,
20130107,양천구,0.06,0.007,1,0.009,73,
20130107,영등포구,0.057,0.005,1.3,0.012,84,
20130107,영등포로,0.073,0.004,1.5,0.008,88,
20130107,용산구,0.069,0.006,1.5,0.007,69,
20130107,은평구,0.049,0.011,1.1,0.008,58,
20130107,정릉로,0.063,0.008,1,0.009,72,
20130107,종로,0.067,0.006,1.1,0.007,66,
20130107,종로구,0.059,0.008,0.8,0.008,67,53
20130107,중구,0.061,0.006,1.3,0.009,60,
20130107,중랑구,0.05,0.011,0.9,0.008,74,
20130107,천호대로,0.072,0.003,1.1,0.008,72,
20130107,청계천로,0.078,0.005,1,0.011,67,
20130107,한강대로,0.071,0.001,1.3,0.008,83,
20130107,홍릉로,0.068,0.004,0.5,0.01,95,
20130107,홍지문,0.067,0.005,0.9,0.009,89,
20130107,화랑로,0.067,0.005,1.3,0.008,96,
20130108,강남구,0.072,0.008,0.9,0.01,71,
20130108,강남대로,0.081,0.004,1.7,0.01,77,
20130108,강동구,0.041,0.008,1,0.007,65,
20130108,강변북로,0.068,0.005,1.1,0.009,73,
20130108,강북구,0.043,0.013,0.8,0.01,60,
20130108,강서구,0.058,0.013,0.9,0.01,75,
20130108,공항대로,0.042,0.012,1.2,0.009,85,
20130108,관악구,0.052,0.014,1.1,0.009,59,
20130108,광진구,0.048,0.013,1.1,0.009,72,
