측정일시,측정소명,이산화질소농도(ppm),오존농도(ppm),이산화탄소농도(ppm),아황산가스(ppm),미세먼지(㎍/㎥),초미세먼지(㎍/㎥)
20120101,강남구,0.036,0.008,0.9,0.011,76,
20120101,강남대로,0.053,0.004,1.2,0.009,83,
20120101,강동구,0.036,0.011,0.9,0.011,79,
20120101,강변북로,0.04,0.007,0.9,0.009,82,
20120101,강북구,0.038,0.013,0.9,0.012,69,
20120101,강서구,0.036,0.004,1,0.009,91,65
20120101,공항대로,0.03,0.01,0.8,0.009,97,
20120101,관악구,0.031,0.01,0.9,0.011,77,
20120101,광진구,0.03,0.012,1.1,0.01,90,61
20120101,구로구,0.034,0.012,1,0.01,83,
20120101,금천구,0.038,0.011,0.9,0.011,79,
20120101,노원구,0.032,0.011,0.9,0.011,90,
20120101,도봉구,0.03,0.013,1.1,0.01,84,
20120101,도산대로,0.027,0.008,1.4,0.009,84,46
20120101,동대문구,0.034,0.008,0.9,0.01,85,
20120101,동작구,0.03,0.012,0.8,0.011,70,
20120101,동작대로,0.04,0.006,1,0.009,90,
20120101,마포구,0.035,0.008,0.9,0.01,86,
20120101,서대문구,0.035,0.01,0.9,0.013,80,
20120101,서초구,0.029,0.011,0.9,0.009,87,
20120101,성동구,0.023,0.01,0.9,0.011,82,
20120101,성북구,0.032,0.012,1.1,0.009,78,
20120101,송파구,0.033,0.011,1,0.011,80,
20120101,신촌로,0.046,0.006,1.2,0.01,97,
20120101,양천구,0.038,0.01,0.9,0.012,84,
20120101,영등포구,0.036,0.008,1.1,0.012,82,
20120101,영등포로,0.047,0.006,0.9,0.007,100,
20120101,용산구,0.035,0.009,0.7,0.008,79,
20120101,은평구,0.031,0.009,1.2,0.011,80,
20120101,정릉로,0.034,0.01,0.9,0.009,82,
20120101,종로,0.032,0.011,0.7,0.01,74,
20120101,종로구,0.027,0.012,0.8,0.013,80,
20120101,중구,0.028,0.011,0.6,0.011,78,
20120101,중랑구,0.038,0.009,0.9,0.01,85,
20120101,천호대로,0.051,0.007,0.9,0.011,90,
20120101,청계천로,0.037,0.01,0.7,0.009,85,
20120101,한강대로,0.041,0.007,1,0.009,87,
20120101,홍릉로,0.043,0.006,1.1,0.011,92,
20120101,홍지문,0.037,0.008,0.8,0.009,73,
20120101,화랑로,0.039,0.008,1.3,0.009,89,
20120102,강남구,0.044,0.004,1,0.009,93,
20120102,강남대로,0.069,0.002,1.4,0.008,96,
20120102,강동구,0.041,0.005,1,0.01,93,
20120102,강변북로,0.044,0.004,1,0.008,94,
20120102,강북구,0.042,0.008,1,0.009,76,
20120102,강서구,0.045,0.003,1,0.009,102,65
20120102,공항대로,0.042,0.005,0.9,0.009,118,
20120102,관악구,0.037,0.007,0.9,0.01,88,
20120102,광진구,0.033,0.007,1.1,0.009,100,64
20120102,구로구,0.037,0.01,0.9,0.01,92,
20120102,금천구,0.043,0.008,0.9,0.01,85,
20120102,노원구,0.038,0.005,1,0.009,100,
20120102,도봉구,0.034,0.007,1.2,0.009,97,
20120102,도산대로,0.031,0.005,1.5,0.008,98,59
20120102,동대문구,0.039,0.005,1,0.009,102,
20120102,동작구,0.034,0.009,0.9,0.01,76,
20120102,동작대로,0.045,0.005,1,0.008,103,
20120102,마포구,0.042,0.005,0.9,0.009,100,
20120102,서대문구,0.041,0.006,1,0.012,92,
20120102,서초구,0.034,0.007,1,0.008,98,
20120102,성동구,0.03,0.005,1,0.01,96,
20120102,성북구,0.039,0.007,1.2,0.009,94,
20120102,송파구,0.038,0.006,1.1,0.01,94,
20120102,신촌로,0.05,0.004,1.2,0.01,114,
20120102,양천구,0.042,0.007,0.8,0.012,87,
20120102,영등포구,0.041,0.006,1.1,0.013,93,
20120102,영등포로,0.057,0.004,0.9,0.008,108,
20120102,용산구,0.039,0.006,0.8,0.007,93,
20120102,은평구,0.035,0.007,1.3,0.008,96,
20120102,정릉로,0.042,0.007,1,0.008,102,
20120102,종로,0.049,0.006,1,0.009,89,
20120102,종로구,0.035,0.007,0.9,0.011,98,
20120102,중구,0.036,0.007,0.8,0.01,97,
20120102,중랑구,0.04,0.006,1,0.008,99,
20120102,천호대로,0.053,0.003,0.9,0.011,94,
20120102,청계천로,0.048,0.005,1,0.008,102,
20120102,한강대로,0.051,0.005,1.2,0.008,105,
20120102,홍릉로,0.051,0.004,1.2,0.01,106,
20120102,홍지문,0.049,0.005,0.9,0.008,85,
20120102,화랑로,0.042,0.004,1.3,0.007,97,
20120103,강남구,0.05,0.005,1,0.007,87,
20120103,강남대로,0.074,0.002,1.4,0.008,92,
20120103,강동구,0.042,0.007,0.9,0.008,85,
20120103,강변북로,0.048,0.006,1,0.007,90,
20120103,강북구,0.046,0.009,0.9,0.009,80,
20120103,강서구,0.051,0.004,1.1,0.007,98,68
20120103,공항대로,0.04,0.006,0.9,0.007,117,
20120103,관악구,0.042,0.009,0.9,0.009,90,
20120103,광진구,0.035,0.009,1,0.008,92,62
20120103,구로구,0.045,0.009,1,0.009,91,
20120103,금천구,0.049,0.008,0.9,0.009,84,
20120103,노원구,0.038,0.008,0.9,0.009,97,
20120103,도봉구,0.033,0.009,1.1,0.008,90,
20120103,도산대로,0.036,0.006,1.7,0.007,98,59
20120103,동대문구,0.044,0.006,1,0.008,96,
20120103,동작구,0.044,0.009,0.9,0.009,76,
20120103,동작대로,0.049,0.005,1,0.007,100,
20120103,마포구,0.047,0.006,1,0.008,98,
20120103,서대문구,0.045,0.009,0.9,0.01,90,
20120103,서초구,0.039,0.008,1,0.006,97,
20120103,성동구,0.033,0.007,1,0.009,92,
20120103,성북구,0.04,0.009,1.1,0.007,88,
20120103,송파구,0.041,0.008,1.1,0.009,87,
20120103,신촌로,0.053,0.005,1.2,0.008,108,
20120103,양천구,0.048,0.009,0.9,0.011,91,
20120103,영등포구,0.047,0.008,1.1,0.01,93,
20120103,영등포로,0.056,0.006,1,0.007,109,
20120103,용산구,0.044,0.007,0.8,0.006,91,
20120103,은평구,0.034,0.009,1.2,0.008,91,
20120103,정릉로,0.048,0.008,0.9,0.008,99,
20120103,종로,0.051,0.008,1,0.008,84,
20120103,종로구,0.04,0.008,0.9,0.011,96,
20120103,중구,0.04,0.009,0.8,0.008,95,
20120103,중랑구,0.043,0.008,0.9,0.008,95,
20120103,천호대로,0.056,0.004,0.9,0.009,92,
20120103,청계천로,0.052,0.006,1,0.008,100,
20120103,한강대로,0.055,0.006,1.2,0.007,100,
20120103,홍릉로,0.055,0.004,1.1,0.009,99,
20120103,홍지문,0.057,0.005,1,0.008,85,
20120103,화랑로,0.044,0.005,1.2,0.007,92,
20120104,강남구,0.032,0.013,0.7,0.011,65,
20120104,강남대로,0.055,0.006,0.9,0.009,69,
20120104,강동구,0.027,0.02,0.6,0.013,62,
20120104,강변북로,0.04,0.011,0.7,0.01,67,
20120104,강북구,0.025,0.023,0.5,0.013,59,
20120104,강서구,0.027,0.007,0.7,0.009,71,44
20120104,공항대로,0.025,0.016,0.4,0.009,79,
20120104,관악구,0.024,0.016,0.6,0.011,65,
20120104,광진구,0.021,0.021,0.7,0.012,68,41
20120104,구로구,0.027,0.019,0.6,0.011,68,
20120104,금천구,0.028,0.02,0.6,0.011,63,
20120104,노원구,0.019,0.019,0.5,0.012,66,
20120104,도봉구,0.013,0.021,0.6,0.011,63,
20120104,도산대로,0.024,0.011,1.1,0.01,72,41
20120104,동대문구,0.02,0.015,0.5,0.011,68,
20120104,동작구,0.03,0.021,0.5,0.011,57,
20120104,동작대로,0.039,0.009,0.7,0.009,77,
20120104,마포구,0.026,0.012,0.7,0.011,71,
20120104,서대문구,0.025,0.019,0.6,0.014,66,
20120104,서초구,0.023,0.019,0.6,0.009,71,
20120104,성동구,0.018,0.018,0.6,0.013,70,
20120104,성북구,0.021,0.021,0.6,0.009,64,
20120104,송파구,0.024,0.02,0.6,0.013,64,
20120104,신촌로,0.044,0.009,0.9,0.011,83,
20120104,양천구,0.03,0.018,0.5,0.013,65,
20120104,영등포구,0.03,0.016,0.9,0.014,68,
20120104,영등포로,0.044,0.01,0.6,0.008,79,
20120104,용산구,0.027,0.017,0.5,0.01,71,
20120104,은평구,0.022,0.016,0.7,0.012,69,
20120104,정릉로,0.024,0.019,0.6,0.011,73,
20120104,종로,0.027,0.018,0.6,0.011,61,
20120104,종로구,0.022,0.02,0.5,0.014,70,
20120104,중구,0.02,0.017,0.3,0.011,70,
20120104,중랑구,0.028,0.017,0.7,0.012,72,
20120104,천호대로,0.042,0.012,0.5,0.013,64,
20120104,청계천로,0.034,0.016,0.6,0.01,69,
20120104,한강대로,0.037,0.012,0.7,0.009,75,
20120104,홍릉로,0.04,0.011,0.8,0.013,74,
20120104,홍지문,0.034,0.013,0.6,0.01,60,
20120104,화랑로,0.036,0.012,0.8,0.011,64,
20120105,강남구,0.048,0.007,0.6,0.005,50,
20120105,강남대로,0.076,0.003,1.2,0.006,59,
20120105,강동구,0.045,0.009,0.7,0.006,53,
20120105,강변북로,0.059,0.005,0.8,0.005,55,
20120105,강북구,0.045,0.012,0.7,0.006,45,
20120105,강서구,0.043,0.003,0.8,0.007,55,29
20120105,공항대로,0.039,0.008,0.5,0.006,83,
20120105,관악구,0.042,0.011,0.6,0.008,47,
20120105,광진구,0.035,0.011,0.8,0.006,54,32
20120105,구로구,0.042,0.012,0.7,0.008,48,
20120105,금천구,0.048,0.011,0.7,0.009,48,
20120105,노원구,0.039,0.01,0.7,0.006,55,
20120105,도봉구,0.03,0.013,0.7,0.006,48,
20120105,도산대로,0.033,0.008,0.7,0.006,51,27
20120105,동대문구,0.041,0.01,0.7,0.005,51,
20120105,동작구,0.054,0.013,0.6,0.005,42,
20120105,동작대로,0.052,0.005,0.9,0.006,60,
20120105,마포구,0.04,0.008,0.6,0.006,48,
20120105,서대문구,0.04,0.012,0.7,0.008,45,
20120105,서초구,0.032,0.012,0.6,0.006,49,
20120105,성동구,0.033,0.008,0.7,0.006,52,
20120105,성북구,0.04,0.011,0.8,0.005,48,
20120105,송파구,0.04,0.009,0.9,0.007,54,
20120105,신촌로,0.052,0.006,0.9,0.008,56,
20120105,양천구,0.042,0.012,0.6,0.011,45,
20120105,영등포구,0.044,0.01,0.8,0.01,47,
20120105,영등포로,0.056,0.007,0.6,0.008,54,
20120105,용산구,0.042,0.009,0.5,0.004,52,
20120105,은평구,0.027,0.013,0.4,0.006,42,
20120105,정릉로,0.041,0.01,0.7,0.006,52,
20120105,종로,0.047,0.01,0.7,0.006,44,
20120105,종로구,0.036,0.012,0.6,0.007,50,
20120105,중구,0.033,0.01,0.4,0.006,46,
20120105,중랑구,0.045,0.008,0.8,0.006,56,
20120105,천호대로,0.057,0.006,0.7,0.007,54,
20120105,청계천로,0.051,0.009,0.7,0.005,50,
20120105,한강대로,0.052,0.007,0.8,0.005,55,
20120105,홍릉로,0.053,0.007,0.8,0.009,56,
20120105,홍지문,0.051,0.008,0.7,0.006,43,
20120105,화랑로,0.048,0.006,1.1,0.006,61,
20120106,강남구,0.057,0.004,0.9,0.008,55,
20120106,강남대로,0.078,0.002,1.3,0.008,64,
20120106,강동구,0.047,0.007,0.8,0.008,51,
20120106,강변북로,0.064,0.004,1,0.006,64,
20120106,강북구,0.049,0.011,0.8,0.009,49,
20120106,강서구,0.048,0.004,0.8,0.007,58,34
20120106,공항대로,0.044,0.009,0.6,0.008,67,
20120106,관악구,0.048,0.008,0.8,0.008,49,
20120106,광진구,0.039,0.008,0.9,0.008,60,32
20120106,구로구,0.05,0.009,0.8,0.008,53,
20120106,금천구,0.054,0.007,0.8,0.01,52,
20120106,노원구,0.038,,0.8,0.008,55,
20120106,도봉구,0.037,0.012,1,0.009,55,
20120106,도산대로,0.038,0.005,1.1,0.007,60,29
20120106,동대문구,0.05,0.007,0.9,0.007,55,
20120106,동작구,0.059,0.01,0.8,0.007,51,
20120106,동작대로,0.055,0.004,1,0.008,65,
20120106,마포구,0.057,0.006,1,0.008,62,
20120106,서대문구,0.052,0.008,0.9,0.01,55,
20120106,서초구,0.036,0.006,0.9,0.007,63,
20120106,성동구,0.04,0.006,0.9,0.008,59,
20120106,성북구,0.042,0.01,1,0.007,53,
20120106,송파구,0.046,0.007,1,0.01,58,
20120106,신촌로,0.057,0.005,1.2,0.01,66,
20120106,양천구,0.051,0.009,0.7,0.012,52,
20120106,영등포구,0.052,0.006,1.1,0.01,54,
20120106,영등포로,0.064,0.004,0.9,0.008,58,
20120106,용산구,0.048,0.007,0.7,0.006,57,
20120106,은평구,0.038,0.009,0.8,0.009,50,
20120106,정릉로,0.051,0.008,0.9,0.008,58,
20120106,종로,0.056,0.007,0.9,0.008,53,
20120106,종로구,0.044,0.008,0.8,0.01,58,
20120106,중구,0.042,0.005,0.8,0.008,61,
20120106,중랑구,0.05,0.007,0.9,0.008,58,
20120106,천호대로,0.061,0.004,0.8,0.009,58,
20120106,청계천로,0.059,0.006,0.9,0.007,57,
20120106,한강대로,0.061,0.005,1.1,0.007,67,
20120106,홍릉로,0.059,0.004,1,0.01,65,
20120106,홍지문,0.056,0.005,0.9,0.008,51,
20120106,화랑로,0.049,0.006,1.1,0.007,62,
20120107,강남구,0.066,0.002,1.2,0.008,88,
20120107,강남대로,0.085,0.001,1.7,0.008,98,
20120107,강동구,0.057,0.004,1,0.009,83,
20120107,강변북로,0.073,0.002,1.2,0.009,93,
20120107,강북구,0.06,0.008,1,0.01,72,
20120107,강서구,0.064,0.002,1.2,0.008,101,60
20120107,공항대로,0.06,0.003,0.9,0.009,94,
20120107,관악구,0.065,0.004,1.2,0.008,90,
20120107,광진구,0.046,0.005,1.1,0.009,91,55
20120107,구로구,0.065,0.005,1.2,0.009,90,
20120107,금천구,0.068,0.005,1.1,0.009,81,
20120107,노원구,0.053,0.002,1.2,0.009,92,
20120107,도봉구,0.046,0.007,1.1,0.008,88,
20120107,도산대로,0.045,0.003,1.4,0.008,98,52
20120107,동대문구,0.064,0.004,1.1,0.009,98,
20120107,동작구,0.081,0.005,1.1,0.007,76,
20120107,동작대로,0.063,0.004,1.3,0.008,106,
20120107,마포구,0.065,0.004,1.1,0.01,97,
20120107,서대문구,0.066,0.003,1,0.013,84,
20120107,서초구,0.045,0.003,1.2,0.008,95,
20120107,성동구,0.047,0.004,1.1,0.011,92,
20120107,성북구,0.054,0.006,1.2,0.008,86,
20120107,송파구,0.054,0.004,1.3,0.009,91,
20120107,신촌로,0.064,0.004,1.5,0.011,104,
20120107,양천구,0.065,0.006,1.1,0.012,87,
20120107,영등포구,0.065,0.003,1.2,0.011,92,
20120107,영등포로,0.076,0.003,1.1,0.008,100,
20120107,용산구,0.056,0.004,0.9,0.007,86,
20120107,은평구,0.05,0.004,1,0.009,80,
20120107,정릉로,0.06,0.004,1.1,0.008,96,
20120107,종로,0.067,0.003,1,0.009,80,
20120107,종로구,0.052,0.005,1,0.012,93,
20120107,중구,0.051,0,1,0.011,89,
20120107,중랑구,0.054,0.007,1,0.008,90,
20120107,천호대로,0.07,0.003,1,0.01,84,
20120107,청계천로,0.068,0.003,1.1,0.009,89,
20120107,한강대로,0.069,0.003,1.3,0.008,99,
20120107,홍릉로,0.067,0.003,1.1,0.012,100,
20120107,홍지문,0.068,0.003,1,0.01,80,
20120107,화랑로,0.057,0.004,1.5,0.008,92,
20120108,강남구,0.066,0.003,1.3,0.01,83,
20120108,강남대로,0.079,0.001,1.6,0.009,90,
20120108,강동구,0.055,0.004,1.1,0.009,75,
20120108,강변북로,0.068,0.003,1.2,0.007,88,
20120108,강북구,0.057,0.008,1,0.011,70,
20120108,강서구,0.061,0.003,1.2,0.009,88,61
20120108,공항대로,0.056,0.004,0.9,0.009,109,
20120108,관악구,0.065,0.005,1.2,0.009,77,
20120108,광진구,0.045,0.006,1.1,0.009,81,60
20120108,구로구,0.065,0.006,1.2,0.01,77,
20120108,금천구,0.068,0.006,1.1,0.011,70,
20120108,노원구,0.051,0.001,1.1,0.01,91,
20120108,도봉구,0.045,0.008,1.2,0.008,79,
20120108,도산대로,0.044,0.004,1.5,0.007,85,48
20120108,동대문구,0.058,0.005,1.1,0.008,87,
20120108,동작구,0.08,0.007,1.1,0.009,73,
20120108,동작대로,0.062,0.003,1.3,0.008,85,
20120108,마포구,0.07,0.004,1.2,0.008,87,
20120108,서대문구,0.07,0.005,1.1,0.01,79,
20120108,서초구,0.044,0.004,1.3,0.008,88,
20120108,성동구,0.045,0.003,1.1,0.009,81,
20120108,성북구,0.054,0.006,1.3,0.008,75,
20120108,송파구,0.056,0.004,1.5,0.011,85,
20120108,신촌로,0.066,0.003,1.6,0.01,98,
20120108,양천구,0.065,0.006,1.1,0.012,78,
20120108,영등포구,0.063,0.003,1.3,0.01,76,
20120108,영등포로,0.072,0.003,1.1,0.007,90,
20120108,용산구,0.055,0.005,1,0.006,78,
20120108,은평구,0.051,0.006,1.2,0.008,73,
20120108,정릉로,0.057,0.006,1.1,0.008,88,
20120108,종로,0.065,0.005,1,0.008,75,
20120108,종로구,0.052,0.006,1,0.011,84,
20120108,중구,0.051,0.002,1,0.009,80,
20120108,중랑구,0.06,0.004,1,0.009,84,
20120108,천호대로,0.069,0.003,1,0.011,83,
20120108,청계천로,0.066,0.004,1,0.008,85,
20120108,한강대로,0.069,0.004,1.3,0.008,89,
20120108,홍릉로,0.063,0.003,1.2,0.011,91,
20120108,홍지문,0.066,0.004,1,0.008,76,
20120108,화랑로,0.052,0.004,1.5,0.008,84,
20120109,강남구,0.05,0.002,1.2,0.023,111,
20120109,강남대로,0.075,0.001,1.7,0.018,119,
20120109,강동구,0.044,0.003,1,0.022,110,
20120109,강변북로,0.059,0.003,1.2,0.019,118,
20120109,강북구,0.045,0.007,0.9,0.023,98,
20120109,강서구,0.048,0.008,1.1,0.021,121,75
20120109,공항대로,0.049,0.003,0.9,0.018,136,
20120109,관악구,0.044,0.004,1.1,0.028,116,
20120109,광진구,0.037,0.004,1.2,0.02,115,79
20120109,구로구,0.046,0.004,1.2,0.026,122,
20120109,금천구,0.053,0.004,1.1,0.024,118,
20120109,노원구,0.039,0.002,1,0.02,115,
20120109,도봉구,0.035,0.008,1.1,0.018,109,
20120109,도산대로,0.035,0.003,1.4,0.018,119,66
20120109,동대문구,0.044,0.005,1.1,0.02,121,
20120109,동작구,0.062,0.005,1.1,0.023,102,
20120109,동작대로,0.052,0.003,1.3,0.02,123,
20120109,마포구,0.042,0.004,1.1,0.023,122,
20120109,서대문구,0.045,0.005,1,0.026,115,
20120109,서초구,0.034,0.003,1.2,0.023,119,
20120109,성동구,0.034,0.003,1.1,0.024,115,
20120109,성북구,0.041,0.006,1.2,0.015,109,
20120109,송파구,0.041,0.003,1.1,0.019,107,
20120109,신촌로,0.052,0.004,1.4,0.021,126,
20120109,양천구,0.048,0.004,1,0.027,113,
20120109,영등포구,0.049,0.002,1.3,0.032,119,
20120109,영등포로,0.062,0.002,1.1,0.014,132,
20120109,용산구,0.043,0.004,0.9,0.018,111,
20120109,은평구,0.037,0.007,1.2,0.02,110,
20120109,정릉로,0.048,0.004,1.1,0.018,122,
20120109,종로,0.049,0.005,1,0.018,107,
20120109,종로구,0.038,0.005,1,0.027,117,
20120109,중구,0.036,0.002,1,0.021,115,
20120109,중랑구,0.045,0.005,1,0.02,115,
20120109,천호대로,0.056,0.003,0.9,0.023,113,
20120109,청계천로,0.053,0.004,1,0.017,124,
20120109,한강대로,0.051,0.004,1.2,0.02,130,
20120109,홍릉로,0.051,0.003,1.2,0.021,122,
20120109,홍지문,0.05,0.003,0.9,0.018,101,
20120109,화랑로,0.05,0.004,1.5,0.017,108,
20120110,강남구,0.048,0.006,1,0.014,86,
20120110,강남대로,0.075,0.002,1.3,0.01,93,
20120110,강동구,0.044,0.008,1,0.014,99,
20120110,강변북로,0.059,0.005,1,0.011,94,
20120110,강북구,0.043,0.013,0.9,0.014,80,
20120110,강서구,0.046,0.01,1.1,0.01,92,51
20120110,공항대로,0.044,0.008,0.8,0.011,115,
20120110,관악구,0.041,0.009,0.9,0.012,78,
20120110,광진구,0.036,0.009,1.1,0.013,103,69
20120110,구로구,0.043,0.011,0.9,0.012,81,
20120110,금천구,0.049,0.009,0.9,0.013,76,
20120110,노원구,0.038,0.01,1,0.012,97,
20120110,도봉구,0.031,0.013,1,0.012,89,
20120110,도산대로,0.034,0.006,1.3,0.012,95,50
20120110,동대문구,0.042,0.009,1,0.012,95,
20120110,동작구,0.055,0.012,0.9,0.012,72,
20120110,동작대로,0.053,0.005,1.1,0.011,99,
20120110,마포구,0.046,0.006,1,0.012,98,
20120110,서대문구,0.044,0.009,0.9,0.015,88,
20120110,서초구,0.034,0.007,1,0.011,95,
20120110,성동구,0.031,0.01,1,0.014,90,
20120110,성북구,0.039,0.01,1.1,0.01,86,
20120110,송파구,0.04,0.008,1.2,0.012,101,
20120110,신촌로,0.054,0.005,1.4,0.014,107,
20120110,양천구,0.045,0.01,0.9,0.014,78,
20120110,영등포구,0.046,0.008,1.1,0.015,86,
20120110,영등포로,0.062,0.004,1,0.01,95,
20120110,용산구,0.045,0.008,0.8,0.012,88,
20120110,은평구,0.037,0.008,1.1,0.012,88,
20120110,정릉로,0.043,0.009,0.9,0.01,87,
20120110,종로,0.044,0.01,0.8,0.011,81,
20120110,종로구,0.036,0.011,0.9,0.015,93,
20120110,중구,0.036,0.006,0.9,0.013,92,
20120110,중랑구,0.041,0.01,0.9,0.012,94,
20120110,천호대로,0.058,0.005,0.9,0.014,102,
20120110,청계천로,0.05,0.008,0.9,0.01,91,
20120110,한강대로,0.053,0.006,1.1,0.011,100,
20120110,홍릉로,0.056,0.005,1.2,0.015,96,
20120110,홍지문,0.049,0.007,0.8,0.013,79,
20120110,화랑로,0.05,0.005,1.4,0.01,103,
20120111,강남구,0.033,0.012,0.6,0.01,57,
20120111,강남대로,0.057,0.005,0.9,0.009,64,
20120111,강동구,0.03,0.016,0.6,0.01,54,
20120111,강변북로,0.045,0.008,0.7,0.009,60,
20120111,강북구,0.026,0.022,0.4,0.01,48,
20120111,강서구,0.028,0.009,0.7,0.008,67,32
20120111,공항대로,0.024,0.015,0.4,0.009,68,
20120111,관악구,0.025,0.015,0.6,0.01,54,
20120111,광진구,0.022,0.018,0.6,0.01,60,33
20120111,구로구,0.027,0.018,0.6,0.01,59,
20120111,금천구,0.029,0.019,0.6,0.011,55,
20120111,노원구,0.02,0.019,0.5,0.01,53,
20120111,도봉구,0.014,0.021,0.5,0.008,53,
20120111,도산대로,0.024,0.011,1,0.009,63,29
20120111,동대문구,0.023,0.016,0.5,0.009,58,
20120111,동작구,0.036,0.018,0.5,0.009,50,
20120111,동작대로,0.041,0.007,0.8,0.009,70,
20120111,마포구,0.028,0.011,0.7,0.01,65,
20120111,서대문구,0.027,0.017,0.7,0.013,58,
20120111,서초구,0.022,0.014,0.6,0.01,63,
20120111,성동구,0.02,0.016,0.6,0.01,61,
20120111,성북구,0.021,0.02,0.6,0.008,50,
20120111,송파구,0.024,0.017,0.6,0.009,54,
20120111,신촌로,0.042,0.008,0.9,0.011,70,
20120111,양천구,0.031,0.016,0.5,0.012,57,
20120111,영등포구,0.032,0.013,0.8,0.012,61,
20120111,영등포로,0.043,0.009,0.6,0.009,64,
20120111,용산구,0.031,0.014,0.4,0.01,57,
20120111,은평구,0.023,0.016,0.7,0.011,61,
20120111,정릉로,0.028,0.015,0.6,0.009,59,
20120111,종로,0.025,0.019,0.4,0.01,52,
20120111,종로구,0.021,0.018,0.5,0.012,60,
20120111,중구,0.02,0.017,0.4,0.01,60,
20120111,중랑구,0.027,0.016,0.6,0.009,58,
20120111,천호대로,0.045,0.01,0.5,0.011,56,
20120111,청계천로,0.033,0.016,0.5,0.009,59,
20120111,한강대로,0.039,0.012,0.7,0.009,66,
