측정일시    ,측정소명,이산화질소농도(ppm),오존농도(ppm),이산화탄소농도(ppm),아황산가스(ppm),미세먼지(㎍/㎥),초미세먼지(㎍/㎥)
19870110,도봉구 ,0.026       ,0.015    ,            ,0.113     ,         ,
19870110,서대문구,0.04        ,         ,2.8         ,0.076     ,         ,
19870110,서초구 ,0.034       ,0.041    ,0.9         ,0.041     ,         ,
19870110,성동구 ,0.04        ,0.015    ,4           ,0.154     ,         ,
19870110,송파구 ,0.027       ,0.011    ,1.8         ,          ,         ,
19870110,용산구 ,0.02        ,0.011    ,2.2         ,0.079     ,         ,
19870111,광진구 ,0.009       ,0.001    ,1.5         ,0.045     ,         ,
19870111,구로구 ,            ,         ,            ,          ,         ,
19870111,도봉구 ,0.053       ,0.004    ,            ,0.285     ,         ,
19870111,서대문구,0.061       ,         ,6.5         ,          ,         ,
19870111,서초구 ,0.051       ,0.006    ,2.4         ,0.156     ,         ,
19870111,성동구 ,0.049       ,0.009    ,5.9         ,0.237     ,         ,
19870111,송파구 ,0.032       ,0.008    ,3.5         ,          ,         ,
19870111,용산구 ,0.025       ,0.004    ,5.8         ,0.132     ,         ,
19870112,광진구 ,0.007       ,0        ,1.6         ,0.037     ,         ,
19870112,구로구 ,0.023       ,0.015    ,2.7         ,0.083     ,         ,
19870112,도봉구 ,0.021       ,0.016    ,2.5         ,0.126     ,         ,
19870112,서대문구,0.054       ,         ,3.9         ,          ,         ,
19870112,서초구 ,0.03        ,0.038    ,1.1         ,0.061     ,         ,
19870112,성동구 ,0.029       ,0.035    ,3.3         ,0.126     ,         ,
19870112,송파구 ,0.023       ,0.013    ,1.7         ,          ,         ,
19870112,용산구 ,0.016       ,0.013    ,2.6         ,0.087     ,         ,
19870113,광진구 ,0.008       ,0        ,2.2         ,0.052     ,         ,
19870113,구로구 ,0.021       ,0.016    ,            ,0.069     ,         ,
19870113,도봉구 ,0.025       ,0.017    ,3.3         ,0.114     ,         ,
19870113,서대문구,0.044       ,         ,3.1         ,          ,         ,
19870113,서초구 ,0.027       ,0.077    ,0.8         ,0.036     ,         ,
19870113,성동구 ,0.032       ,0.033    ,3.8         ,0.139     ,         ,
19870113,송파구 ,0.024       ,0.016    ,1.8         ,          ,         ,
19870113,용산구 ,0.019       ,0.016    ,2           ,0.144     ,         ,
19870114,광진구 ,0.009       ,0.001    ,2           ,0.056     ,         ,
19870114,구로구 ,0.038       ,0.004    ,            ,0.17      ,         ,
19870114,도봉구 ,0.05        ,0.002    ,7.4         ,0.286     ,         ,
