측정일시,측정소명,이산화질소농도(ppm),오존농도(ppm),이산화탄소농도(ppm),아황산가스(ppm),미세먼지(㎍/㎥),초미세먼지(㎍/㎥)
19900101,광진구,0.037,0,,0.041,,
19900101,구로구,0.025,0.011,4.7,0.158,,
19900101,도봉구,0.044,0.001,8,0.127,,
19900101,서대문구,0.027,0.006,6.4,0.078,,
19900101,서초구,0.035,0.002,3.3,0.094,,
19900101,성동구,0.043,0,4.4,0.177,,
19900101,송파구,0.037,0.003,3.2,0.107,70,
19900101,용산구,0.033,0.002,4.3,,,
19900102,광진구,0.033,0,,0.041,,
19900102,구로구,0.023,0.014,5,0.156,,
19900102,도봉구,0.04,0.005,6.7,0.102,,
19900102,서대문구,0.027,0.007,5.6,0.067,,
19900102,서초구,0.032,0.004,3.2,0.085,,
19900102,성동구,,,,,,
19900102,송파구,0.033,0.004,3.4,0.097,67,
19900102,용산구,0.03,0.004,3.6,,,
19900103,광진구,0.036,0.002,,0.04,,
19900103,구로구,0.022,0.018,3.8,0.121,,
19900103,도봉구,0.02,0.008,7.6,0.094,,
19900103,서대문구,0.027,0.011,4.9,0.058,,
19900103,서초구,0.029,0.007,1.7,0.038,,
19900103,성동구,0.037,0.008,2,0.082,,
19900103,송파구,0.034,0.005,3.5,0.085,75,
19900103,용산구,0.028,0.009,1.9,,,
19900104,광진구,0.047,0,,0.072,,
19900104,구로구,0.041,0.007,7,0.17,,
19900104,도봉구,0.037,0.001,13.6,0.164,,
19900104,서대문구,0.032,0.003,10.4,0.11,,
19900104,서초구,0.049,0.001,5.2,0.107,,
19900104,성동구,0.055,0.001,4,0.19,,
19900104,송파구,0.047,0.001,5.5,0.148,139,
19900104,용산구,0.041,0.001,6.1,,,
19900105,광진구,0.042,0,,0.071,,
19900105,구로구,0.039,0.004,5.4,0.092,,
19900105,도봉구,0.022,0.004,6.5,0.114,,
19900105,서대문구,0.027,0.002,7.3,0.085,,
19900105,서초구,0.037,0.001,3.4,0.071,,
19900105,성동구,0.049,0,3.8,0.157,,
19900105,송파구,0.038,0.001,3.8,0.112,109,
19900105,용산구,0.035,0.002,4.7,,,
19900106,광진구,0.025,0.004,,0.029,,
19900106,구로구,0.023,0.021,2.4,0.063,,
19900106,도봉구,0.013,0.01,2.6,0.05,,
19900106,서대문구,,0.014,2.5,0.064,,
19900106,서초구,0.023,0.008,1,0.018,,
19900106,성동구,0.033,0.007,2.8,0.08,,
19900106,송파구,0.025,0.012,1.5,0.044,25,
19900106,용산구,0.023,0.01,1.6,,,
19900107,광진구,0.037,0.001,,0.041,,
19900107,구로구,0.046,0.007,8.3,0.254,,
19900107,도봉구,0.031,0.002,8.2,0.185,,
19900107,서대문구,,0.003,10.4,0.18,,
19900107,서초구,0.041,0.002,5,0.123,,
19900107,성동구,0.049,0.002,5.9,0.189,,
19900107,송파구,0.039,0.003,4.5,0.127,85,
19900107,용산구,0.039,0.002,6.1,,,
19900108,광진구,0.035,0.002,,0.026,,
19900108,구로구,0.051,0.004,7.7,0.219,,
19900108,도봉구,0.034,0.001,11.1,0.228,,
19900108,서대문구,,0.003,11.6,0.169,,
19900108,서초구,0.045,0,4.5,0.129,,
19900108,성동구,0.055,0.001,5.8,0.18,,
19900108,송파구,0.046,0,6.2,0.17,110,
19900108,용산구,0.044,0,7.6,,,
19900109,광진구,0.031,0.002,,0.03,,
19900109,구로구,0.045,0.002,7.1,0.206,,
19900109,도봉구,0.03,0.001,10.9,0.214,,
19900109,서대문구,,0.006,8.6,0.153,,
19900109,서초구,0.046,0,4.7,0.125,,
19900109,성동구,0.052,0,6.3,0.182,,
19900109,송파구,0.04,0,5.1,0.147,75,
19900109,용산구,0.041,0,7.1,,,
19900110,광진구,0.033,0.004,,0.032,,
19900110,구로구,0.028,0.009,3.6,0.091,,
19900110,도봉구,0.014,0.007,3.9,0.052,,
19900110,서대문구,0.137,0.006,4.2,0.098,,
19900110,서초구,0.031,0.002,2.5,0.032,,
19900110,성동구,0.033,0.004,2.7,0.068,,
19900110,송파구,0.029,0.006,2.1,0.055,40,
19900110,용산구,0.031,0.003,3.1,,,
19900111,광진구,0.034,0.001,,0.044,,
19900111,구로구,0.031,0.009,4.1,0.126,,
19900111,도봉구,0.023,0.002,5.1,0.095,,
19900111,서대문구,0.05,0.002,4.7,0.106,,
19900111,서초구,0.036,0.002,2,0.041,,
19900111,성동구,0.038,0.003,2.5,0.082,,
19900111,송파구,0.03,0.006,1.7,0.059,71,
19900111,용산구,0.036,0.002,2.7,,,
19900112,광진구,0.026,0.004,,0.029,,
19900112,구로구,0.027,0.016,3.1,0.092,,
19900112,도봉구,0.011,0.01,2.2,0.053,,
19900112,서대문구,0.028,0.011,3.5,0.078,,
19900112,서초구,0.035,0.005,1.6,0.024,,
19900112,성동구,0.031,0.008,1.9,0.063,,
19900112,송파구,0.03,0.01,1.5,0.04,48,
19900112,용산구,0.029,0.01,1.8,,,
19900113,광진구,0.029,0.003,,0.029,,
19900113,구로구,0.025,0.022,2.2,0.071,,
19900113,도봉구,0.018,0.003,2.2,0.044,,
19900113,서대문구,0.019,0.014,3,0.061,,
19900113,서초구,0.03,0.008,1.1,0.02,,
19900113,성동구,0.031,0.008,1.8,0.077,,
19900113,송파구,0.028,0.01,1.5,0.048,35,
19900113,용산구,0.028,0.006,1.8,,,
19900114,광진구,0.042,0,,0.064,,
19900114,구로구,0.037,0.009,5.7,0.178,,
19900114,도봉구,,,,0.151,,
19900114,서대문구,0.026,0.002,7.2,0.102,,
19900114,서초구,0.045,0.001,3.5,0.099,,
19900114,성동구,0.047,0.001,3.1,0.17,,
19900114,송파구,0.039,0.002,3.6,0.125,86,
19900114,용산구,0.038,0,3.9,,,
19900115,광진구,0.037,0.001,,0.041,,
19900115,구로구,0.034,0.01,3.5,0.112,,
19900115,도봉구,0.024,0,3.3,0.156,,
19900115,서대문구,0.023,0.007,4.3,0.061,,
19900115,서초구,0.04,0.001,2.5,0.058,,
19900115,성동구,0.045,0.002,2.6,0.125,,
19900115,송파구,0.039,0.002,3.3,0.096,98,
19900115,용산구,0.022,0.002,3.2,,,
19900116,광진구,0.045,0,,0.056,,
19900116,구로구,0.041,0.01,5.9,0.196,,
19900116,도봉구,0.027,0,5.6,0.174,,
19900116,서대문구,0.026,0.003,7.5,0.094,,
19900116,서초구,0.046,0.001,3.8,0.092,,
19900116,성동구,0.05,0.001,3.3,0.163,,
19900116,송파구,0.044,0.002,3.6,0.108,116,
19900116,용산구,0.015,0.001,4.7,,,
19900117,광진구,0.038,0.002,,0.043,,
19900117,구로구,0.041,0.004,10.8,0.325,,
19900117,도봉구,0.028,0.003,4.6,0.155,,
19900117,서대문구,0.029,0.003,7.3,0.12,,
19900117,서초구,0.04,0.004,2.8,0.084,,
19900117,성동구,0.045,0.003,3.4,0.146,,
19900117,송파구,0.036,0.006,3.7,0.109,107,
19900117,용산구,0.013,0.005,3.9,,,
19900118,광진구,0.03,0.002,,0.032,,
19900118,구로구,0.021,0.018,1.8,0.051,,
19900118,도봉구,0.015,0.001,3.3,0.078,,
19900118,서대문구,0.027,0.013,2.8,0.103,,
19900118,서초구,0.028,0.009,1.4,0.023,,
19900118,성동구,0.03,0.007,1.7,0.061,,
19900118,송파구,0.029,0.01,1.4,0.042,78,
19900118,용산구,0.016,0.009,1.7,,,
19900119,광진구,0.026,0.003,,0.027,,
19900119,구로구,0.018,0.026,1.8,0.058,,
19900119,도봉구,0.01,0.006,1.6,0.045,,
19900119,서대문구,0.02,0.018,2.3,0.086,,
19900119,서초구,0.026,0.008,1,0.018,,
19900119,성동구,0.029,0.007,1.7,0.071,,
19900119,송파구,0.025,0.011,1.3,0.045,51,
19900119,용산구,0.021,0.009,1.6,,,
19900120,광진구,0.037,0.002,,0.038,,
19900120,구로구,0.027,0.022,3,0.115,,
19900120,도봉구,0.018,0.009,3.1,0.091,,
19900120,서대문구,0.027,0.014,3,0.138,,
19900120,서초구,0.035,0.006,1.9,0.044,,
19900120,성동구,0.039,0.006,1.9,0.091,,
19900120,송파구,0.034,0.008,2.1,0.075,58,
19900120,용산구,0.028,0.006,1.9,,,
19900121,광진구,0.039,0,,0.047,,
19900121,구로구,0.034,0.012,6.6,0.219,,
19900121,도봉구,0.026,0.001,6.8,0.2,,
19900121,서대문구,0.042,0.002,7.2,0.244,,
19900121,서초구,0.04,0.003,3.5,0.099,,
19900121,성동구,0.046,0.001,2.8,0.154,,
19900121,송파구,0.037,0.004,3.7,0.11,93,
19900121,용산구,0.029,0.002,3.9,,,
19900122,광진구,0.018,0.006,,0.025,,
19900122,구로구,0.009,0.034,1.9,0.07,,
19900122,도봉구,0.008,0.016,1.9,0.046,,
19900122,서대문구,0.015,0.032,2.2,0.117,,
19900122,서초구,0.021,0.017,0.9,0.019,,
19900122,성동구,0.024,0.016,1.1,0.063,,
19900122,송파구,0.018,0.021,1.1,0.037,25,
19900122,용산구,0.018,0.018,1.2,,,
19900123,광진구,0.038,0.003,,0.036,,
19900123,구로구,0.016,0.028,1.6,0.11,,
19900123,도봉구,0.019,0.009,3.2,0.114,,
19900123,서대문구,0.03,0.018,3.5,0.149,,
19900123,서초구,0.037,0.01,1.6,0.042,,
19900123,성동구,0.039,0.008,1.6,0.102,,
19900123,송파구,0.032,0.012,2.4,0.086,62,
19900123,용산구,0.035,0.008,2.2,,,
19900124,광진구,0.026,0.005,,0.027,,
19900124,구로구,0.019,0.035,1,0.07,,
19900124,도봉구,0.01,0.015,2,0.043,,
19900124,서대문구,0.022,0.03,2.5,0.108,,
19900124,서초구,0.028,0.015,1,0.018,,
19900124,성동구,0.027,0.014,1.2,0.067,,
19900124,송파구,0.021,0.019,1,0.037,23,
19900124,용산구,0.022,0.016,1.3,,,
19900125,광진구,0.032,0.002,,0.037,,
19900125,구로구,0.028,0.02,2.4,0.083,,
19900125,도봉구,0.018,0.008,3,0.105,,
19900125,서대문구,0.024,0.018,2.9,0.119,,
19900125,서초구,0.031,0.011,1.2,0.023,,
19900125,성동구,0.036,0.007,1.4,0.101,,
19900125,송파구,0.035,0.007,2.3,0.081,56,
19900125,용산구,0.031,0.009,1.8,,,
19900126,광진구,,,,,,
19900126,구로구,0.042,0.008,5.9,0.228,,
19900126,도봉구,0.027,0.003,5.2,0.179,,
19900126,서대문구,0.05,0,8.5,0.298,,
19900126,서초구,0.048,0.003,4.2,0.146,,
19900126,성동구,0.044,0,2.7,0.152,,
19900126,송파구,0.036,0.007,3.6,0.126,89,
19900126,용산구,0.047,0.002,5.2,,,
19900127,광진구,0.036,0.001,,0.015,,
19900127,구로구,0.04,0.004,5.1,0.152,,
19900127,도봉구,0.029,0.002,9.9,0.203,,
19900127,서대문구,0.036,0.001,,0.248,,
19900127,서초구,0.048,0.002,4.5,0.146,,
19900127,성동구,,,,,,
19900127,송파구,0.038,0.005,4.7,0.15,83,
19900127,용산구,0.044,0.002,6.2,,,
19900128,광진구,0.036,0.004,,0.013,,
19900128,구로구,0.033,0.005,4.6,0.148,,
19900128,도봉구,0.025,0.003,,0.235,,
19900128,서대문구,0.023,0.011,,0.128,,
19900128,서초구,0.038,0.003,2.8,0.084,,
19900128,성동구,0.038,0.004,2.2,0.108,,
19900128,송파구,0.03,0.007,3,0.108,50,
19900128,용산구,0.036,0.004,4.4,,,
19900129,광진구,0.036,0.002,,0.045,,
19900129,구로구,0.025,0.007,2.3,0.072,,
19900129,도봉구,0.019,0.004,,0.112,,
19900129,서대문구,0.025,0.006,3.7,0.121,,
19900129,서초구,0.027,0.001,3.4,0.055,,
19900129,성동구,0.038,0.001,4.3,0.115,,
19900129,송파구,0.031,0.003,4,0.093,40,
19900129,용산구,0.035,0.001,4.5,,,
19900130,광진구,0.026,0.005,,0.026,,
19900130,구로구,0.029,0.003,3.3,0.116,,
19900130,도봉구,0.02,0.004,2.9,0.086,,
19900130,서대문구,0.034,0.003,5.7,0.13,,
19900130,서초구,0.013,0.002,2.4,0.052,,
19900130,성동구,0.035,0.003,3.3,0.096,,
19900130,송파구,0.027,0.011,1.8,0.057,22,
19900130,용산구,0.031,0.004,3.3,,,
19900131,광진구,0.017,0.009,,0.01,,
19900131,구로구,0.027,0.013,2.6,0.089,,
19900131,도봉구,0.019,0.007,3.2,0.09,,
19900131,서대문구,0.027,0.013,3.4,0.114,,
19900131,서초구,0.01,0.01,1.7,0.037,,
19900131,성동구,0.023,0.014,1.8,0.075,,
19900131,송파구,0.022,0.016,1.8,0.064,17,
19900131,용산구,0.026,0.012,2.4,,,
19900201,광진구,0.044,0,,0.077,,
19900201,구로구,0.028,0.015,3.7,0.087,,
19900201,도봉구,0.02,0.006,3.4,0.102,,
19900201,서대문구,0.033,0.011,3.7,0.143,,
19900201,서초구,0.045,0.002,1.9,0.043,,
19900201,성동구,0.059,0,3.2,0.159,,
19900201,송파구,0.044,0.004,2.5,0.095,67,
19900201,용산구,0.043,0.003,3,,,
19900202,광진구,0.053,0.002,,0.111,,
19900202,구로구,0.047,0.006,7.8,0.162,,
19900202,도봉구,0.031,0.003,5.4,0.18,,
19900202,서대문구,0.045,0.005,7.5,0.278,,
19900202,서초구,0.026,0.001,5.4,0.129,,
19900202,성동구,0.061,0.002,4.6,0.213,,
19900202,송파구,0.049,0.007,3.7,0.136,91,
19900202,용산구,0.053,0.003,4.6,,,
19900203,광진구,0.056,0.001,,0.09,,
19900203,구로구,0.047,0.012,7.5,0.158,,
19900203,도봉구,0,0.005,7.1,0.223,,
19900203,서대문구,0.048,0.006,10.7,0.283,,
19900203,서초구,0.024,0.003,5.4,0.158,,
19900203,성동구,0.065,0.002,4.3,0.209,,
19900203,송파구,0.062,0.004,6.4,0.172,147,
19900203,용산구,0.05,0.004,5.5,,,
19900204,광진구,0.054,0.002,,0.085,,
19900204,구로구,0.043,0.006,5.8,0.117,,
19900204,도봉구,0.029,0.004,5.5,0.166,,
19900204,서대문구,0.045,0.001,6.3,0.201,,
19900204,서초구,0.019,0.002,3.6,0.103,,
19900204,성동구,0.06,0.001,3.7,0.173,,
19900204,송파구,0.057,0.003,5.2,0.156,116,
19900204,용산구,0.037,0.001,4.6,,,
19900205,광진구,0.049,0.001,,0.08,,
19900205,구로구,0.036,0.01,6.9,0.136,,
19900205,도봉구,0.03,0.005,5.7,0.158,,
19900205,서대문구,0.042,0.006,10,0.272,,
19900205,서초구,0.019,0.002,4.7,0.111,,
19900205,성동구,0.054,0.003,3,0.139,,
19900205,송파구,0.049,0.005,3.6,0.105,101,
19900205,용산구,0.048,0.002,4,,,
19900206,광진구,0.055,0.001,,0.094,,
19900206,구로구,0.042,0.01,5.3,0.126,,
19900206,도봉구,0.027,0.008,4.5,0.136,,
19900206,서대문구,0.04,0.013,7.4,0.265,,
19900206,서초구,0.02,0.002,4.5,0.079,,
19900206,성동구,0.065,0.001,4.4,0.186,,
19900206,송파구,0.057,0.004,5.6,0.144,142,
19900206,용산구,0.054,0.003,5.5,,,
19900207,광진구,0.073,0.001,4.1,0.078,,
19900207,구로구,0.05,0.008,7.6,0.255,,
19900207,도봉구,0.033,0.005,5.9,0.165,,
19900207,서대문구,0.049,0.011,11.4,0.305,,
19900207,서초구,0.023,0.002,5.8,0.053,,
19900207,성동구,0.068,0.001,4.9,0.2,,
19900207,송파구,0.061,0.004,5.9,0.144,167,
19900207,용산구,0.058,0.002,6.3,,,
19900208,광진구,0.046,0.002,3.6,0.069,,
19900208,구로구,0.052,0.001,7.9,0.259,,
19900208,도봉구,0.032,0.002,6.8,0.141,,
19900208,서대문구,0.05,0.004,12.1,0.304,,
19900208,서초구,0.022,0.001,5.9,0.049,,
19900208,성동구,0.059,0.001,4,0.162,,
19900208,송파구,0.049,0.005,5.3,0.122,127,
19900208,용산구,0.048,0.002,5.2,,,
19900209,광진구,0.047,0.003,4.8,0.072,,
19900209,구로구,0.068,0.001,14.6,0.397,,
19900209,도봉구,0.038,0.001,10.3,0.161,,
19900209,서대문구,0.071,0.003,18.9,0.326,,
19900209,서초구,0.028,0,10.4,0.057,,
19900209,성동구,0.074,0.002,7.3,0.252,,
19900209,송파구,0.046,0.007,6.6,0.126,145,
19900209,용산구,0.066,0.001,10.9,,,
19900210,광진구,0.029,0.005,2.2,0.03,,
19900210,구로구,0.038,0.002,5,0.136,,
19900210,도봉구,0.022,0.003,4.3,0.055,,
19900210,서대문구,0.037,0.012,6.7,0.131,,
19900210,서초구,0.017,0.001,3.8,0.03,,
19900210,성동구,0.048,0.001,3.6,0.119,,
19900210,송파구,0.034,0.002,3.4,0.086,54,
19900210,용산구,0.045,0.001,4.9,,,
19900211,광진구,0.035,0.002,2.7,0.045,,
19900211,구로구,0.026,0.013,3.1,0.116,,
19900211,도봉구,0.016,0.009,3.2,0.032,,
19900211,서대문구,0.032,0.016,3.3,0.065,,
19900211,서초구,0.011,0.008,2.1,0.018,,
19900211,성동구,0.04,0.006,2.6,0.087,,
19900211,송파구,0.017,0.008,2.1,0.061,62,
19900211,용산구,0.035,0.009,1.9,,,
19900212,광진구,0.025,0.005,2.1,0.037,,
19900212,구로구,0.022,0.021,1.3,0.071,,
19900212,도봉구,0.012,0.014,2.1,0.022,,
19900212,서대문구,0.026,0.02,3.1,0.063,,
19900212,서초구,0.012,0.006,1.4,0.012,,
19900212,성동구,0.032,0.01,1.8,0.068,,
19900212,송파구,0.012,0.011,1.6,0.045,34,
19900212,용산구,0.025,0.014,1.4,,,
19900213,광진구,0.036,0.003,2.5,0.042,,
19900213,구로구,0.042,0.004,4.7,0.176,,
19900213,도봉구,0.02,0.004,4.3,0.067,,
19900213,서대문구,0.04,0.009,7.2,0.137,,
19900213,서초구,0.018,0.002,3.6,0.071,,
19900213,성동구,0.05,0.004,3.1,0.135,,
19900213,송파구,0.063,0.001,2.9,0.089,59,
19900213,용산구,0.047,0.003,4.1,,,
19900214,광진구,0.028,0.005,2.1,0.022,,
19900214,구로구,0.039,0.003,5,0.143,,
19900214,도봉구,0.021,0.005,5.1,0.072,,
19900214,서대문구,0.033,0.009,8.9,0.147,,
19900214,서초구,0.016,0.002,3.6,0.088,,
19900214,성동구,0.046,0.004,3.6,0.134,,
19900214,송파구,0.044,0.003,4.2,0.096,73,
19900214,용산구,0.041,0.005,5,,,
19900215,광진구,0.022,0.006,,0.014,,
19900215,구로구,0.034,0.001,4.1,0.095,,
19900215,도봉구,0.023,0.003,4.6,0.064,,
19900215,서대문구,0.025,0.002,4.9,0.108,,
19900215,서초구,0.015,0.001,2.7,0.055,,
19900215,성동구,0.043,0.002,3,0.091,,
19900215,송파구,0.035,0.005,2.5,0.077,28,
19900215,용산구,0.036,0.002,3.5,,,
19900216,광진구,0.027,0.004,3.9,0.056,,
19900216,구로구,0.031,0.002,3.7,0.093,,
19900216,도봉구,0.019,0.004,3.6,0.099,,
19900216,서대문구,0.031,0.005,6,0.15,,
19900216,서초구,0.016,0,3.5,0.058,,
19900216,성동구,0.044,0.003,3.5,0.118,,
19900216,송파구,0.032,0.006,3.2,0.084,59,
19900216,용산구,0.042,0.002,4.4,,,
19900217,광진구,0.034,0.002,3.8,0.05,,
19900217,구로구,0.035,0.001,7.8,0.147,,
19900217,도봉구,0.029,0.002,6.7,0.199,,
19900217,서대문구,0.039,0.01,13.5,0.233,,
19900217,서초구,0.018,0.001,6.1,0.071,,
19900217,성동구,0.058,0.002,5.2,0.174,,
19900217,송파구,0.04,0.005,4.4,0.089,104,
19900217,용산구,0.049,0.002,7,,,
19900218,광진구,0.021,0.006,1.9,0.04,,
19900218,구로구,0.022,0.009,3.7,0.07,,
19900218,도봉구,0.019,0.006,5.6,0.131,,
19900218,서대문구,0.025,0.02,5.5,0.071,,
19900218,서초구,0.015,0.004,2.6,0.035,,
19900218,성동구,0.039,0.005,2.4,0.08,,
19900218,송파구,0.02,0.019,2.5,0.052,39,
19900218,용산구,0.034,0.006,3.4,,,
19900219,광진구,0.025,0.003,3,0.059,,
19900219,구로구,0.018,0.008,2.6,0.052,,
19900219,도봉구,0.016,0.005,4.4,0.084,,
19900219,서대문구,0.02,0.025,2.7,0.097,,
19900219,서초구,0.014,0.004,2.1,0.021,,
19900219,성동구,0.038,0.004,2.7,0.077,,
19900219,송파구,0.033,0.009,1.9,0.044,27,
19900219,용산구,0.032,0.005,2.6,,,
19900220,광진구,0.028,0.002,2.7,0.046,,
19900220,구로구,0.018,0.012,3,0.06,,
19900220,도봉구,0.014,0.012,3.3,0.056,,
19900220,서대문구,0.026,0.02,3.4,0.105,,
19900220,서초구,0.016,0.001,2.1,0.028,,
19900220,성동구,0.037,0.008,2.1,0.068,,
19900220,송파구,0.038,0.009,1.7,0.053,50,
19900220,용산구,0.034,0.008,1.8,,,
19900221,광진구,0.025,0.003,2.6,0.031,,
19900221,구로구,0.022,0.004,4.4,0.065,,
19900221,도봉구,0.021,0.003,6.2,0.142,,
19900221,서대문구,0.035,0.011,5.7,0.15,,
19900221,서초구,0.019,,4,0.082,,
19900221,성동구,0.045,0.002,3.2,0.101,,
19900221,송파구,0.03,0.009,2.8,0.066,50,
19900221,용산구,0.036,0.003,3.9,,,
19900222,광진구,0.012,0.011,1.1,0.004,,
19900222,구로구,0.02,0.007,3.3,0.038,,
19900222,도봉구,0.02,0.004,3.9,0.103,,
19900222,서대문구,0.021,0.031,2.1,0.051,,
19900222,서초구,0.019,,1.9,0.03,,
19900222,성동구,0.029,0.01,1.7,0.04,,
19900222,송파구,0.026,0.014,1.8,0.046,18,
19900222,용산구,0.028,0.01,2.3,,,
19900223,광진구,0.015,0.01,0.9,0.004,,
19900223,구로구,0.019,0.008,2.6,0.039,,
19900223,도봉구,0.015,0.007,2.6,0.07,,
19900223,서대문구,0.016,0.025,2.8,0.07,,
19900223,서초구,0.019,,2.1,0.043,,
19900223,성동구,0.035,0.007,2,0.058,,
19900223,송파구,0.022,0.019,1.3,0.039,11,
19900223,용산구,0.03,0.007,2.5,,,
19900224,광진구,0.022,0.007,2.5,0.024,,
19900224,구로구,0.02,0.004,2.7,0.066,,
19900224,도봉구,0.017,0.007,3,0.066,,
19900224,서대문구,0.021,0.011,4,0.093,,
19900224,서초구,0.019,,2,0.038,,
19900224,성동구,0.036,0.007,1.9,0.057,,
19900224,송파구,0.028,0.014,1.6,0.047,22,
19900224,용산구,0.032,0.006,2.3,,,
19900225,광진구,0.029,0.003,1.9,0.021,,
19900225,구로구,0.01,0.013,1.7,0.051,,
19900225,도봉구,0.011,0.008,1.9,0.032,,
19900225,서대문구,0.013,0.023,2.2,0.048,,
19900225,서초구,0.012,,1.2,0.019,,
19900225,성동구,0.018,0.009,1.6,0.058,,
19900225,송파구,0.031,0.013,1.2,0.041,38,
19900225,용산구,0.028,0.011,1.4,,,
19900226,광진구,0.044,0.002,3.4,0.048,,
