"행정구역별(읍면동)",2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017
"행정구역별(읍면동)",총인구 (명),남자 (명),여자 (명),내국인-계 (명),내국인-남자 (명),내국인-여자 (명),외국인-계 (명),외국인-남자 (명),외국인-여자 (명),가구-계 (가구),일반가구 (가구),집단가구 (가구),외국인가구 (가구),주택-계 (호),단독주택 (호),아파트 (호),연립주택 (호),다세대주택 (호),비거주용 건물내 주택 (호),주택이외의 거처 (호)
"부산진구",366492,177345,189147,363897,176304,187593,2595,1041,1554,153934,153075,62,797,135673,26906,85041,1724,20499,1503,9374
"동래구",261671,127795,133876,260562,127327,133235,1109,468,641,100950,100540,40,370,87052,13765,56397,2762,12794,1334,4515
"남구",275941,135757,140184,270609,133071,137538,5332,2686,2646,109597,108016,101,1480,100948,19804,55596,3188,21349,1011,2843
"북구",296945,146861,150084,294857,145976,148881,2088,885,1203,114011,113476,32,503,104480,7662,84140,2711,9264,703,1980
"해운대구",399363,193784,205579,395260,191645,203615,4103,2139,1964,155172,153815,42,1315,139613,12648,109634,2608,13794,929,11655
"사하구",330293,164623,165670,325397,161530,163867,4896,3093,1803,129779,128433,74,1272,114558,18124,78744,5156,11499,1035,4042
"금정구",246891,120805,126086,242192,118714,123478,4699,2091,2608,100968,99425,88,1455,82427,16251,44560,3098,17199,1319,3512
"강서구",116702,61825,54877,110580,56563,54017,6122,5262,860,43383,41987,53,1343,37268,8651,27629,69,560,359,2677
"연제구",201053,97219,103834,200146,96845,103301,907,374,533,79788,79475,36,277,68314,11652,44304,1502,9936,920,4126
"수영구",173059,82221,90838,171570,81499,90071,1489,722,767,72792,72186,32,574,64543,10498,34602,2351,16315,777,3695
"사상구",231587,116752,114835,225854,113521,112333,5733,3231,2502,92305,90925,60,1320,75312,10463,55553,772,7618,906,3036
"기장군",156561,77587,78974,154174,75896,78278,2387,1691,696,59336,58788,42,506,57542,8239,43514,1433,3740,616,1619
"대구광역시",2453041,1218326,1234715,2421676,1200214,1221462,31365,18112,13253,958273,948030,566,9677,783895,154389,555900,9440,53384,10782,18488
"읍부",152160,77773,74387,147625,74751,72874,4535,3022,1513,54390,53041,51,1298,52423,4385,46005,459,1146,428,1226
"면부",87080,45021,42059,84746,43382,41364,2334,1639,695,34618,34053,36,529,37699,8880,27262,176,891,490,1137
"동부",2213801,1095532,1118269,2189305,1082081,1107224,24496,13451,11045,869265,860936,479,7850,693773,141124,482633,8805,51347,9864,16125
"중구",75324,36422,38902,74501,36029,38472,823,393,430,33318,32968,39,311,25788,8078,14794,766,1226,924,2405
"동구",340396,167950,172446,338334,167173,171161,2062,777,1285,136701,135974,74,653,118194,25251,75672,2288,13138,1845,3316
"서구",191414,96275,95139,188540,94631,93909,2874,1644,1230,79183,78170,44,969,54424,23261,18223,737,11025,1178,1160
"남구",152785,73530,79255,151577,73050,78527,1208,480,728,68748,68227,59,462,41877,20497,14259,573,5649,899,1021
"북구",445293,222709,222584,439676,219765,219911,5617,2944,2673,171098,169117,90,1891,140387,20625,109812,1810,6254,1886,3133
"수성구",425546,207706,217840,423722,206908,216814,1824,798,1026,157640,156945,46,649,133564,22126,101717,1277,7297,1147,2175
"달서구",583043,290940,292103,572955,284525,288430,10088,6415,3673,222577,219535,127,2915,179539,21286,148156,1354,6758,1985,2915
"달성군",239240,122794,116446,232371,118133,114238,6869,4661,2208,89008,87094,87,1827,90122,13265,73267,635,2037,918,2363
"인천광역시",2925967,1472081,1453886,2846797,1426308,1420489,79170,45773,33397,1105006,1080285,718,24003,969588,100868,597929,25079,237716,7996,62176
"읍부",21519,10658,10861,21250,10544,10706,269,114,155,8460,8385,6,69,8467,3310,1155,799,3052,151,230
"면부",61512,32371,29141,60585,31727,28858,927,644,283,27392,27065,67,260,26250,22425,1470,539,1205,611,1263
"동부",2842936,1429052,1413884,2764962,1384037,1380925,77974,45015,32959,1069154,1044835,645,23674,934871,75133,595304,23741,233459,7234,60683
"중구",115153,59415,55738,110770,57112,53658,4383,2303,2080,47262,45897,56,1309,42011,8010,23928,1772,7641,660,3718
"동구",68171,34284,33887,67066,33677,33389,1105,607,498,26796,26449,17,330,25063,7138,14393,258,2987,287,524
"남구",421851,213845,208006,411539,208501,203038,10312,5344,4968,170460,166978,114,3368,141760,22015,63322,3561,51241,1621,11057
"연수구",337595,168613,168982,325673,162312,163361,11922,6301,5621,119930,115927,77,3926,101399,3602,90389,872,6235,301,5474
"남동구",534050,268108,265942,519064,257948,261116,14986,10160,4826,200748,196858,111,3779,177023,8565,120154,2003,45049,1252,13493
"부평구",538236,266995,271241,522227,258824,263403,16009,8171,7838,204175,198443,92,5640,173133,13064,108199,4383,46044,1443,15966
"계양구",318104,158179,159925,314224,156413,157811,3880,1766,2114,117201,115976,65,1160,108663,4094,68650,2149,33090,680,3782
